ApplicantID,UserID,IncomeType,EducationType,FamilyStatus,HousingType,EmploymentDays,AnnualIncome,Age,NumChildren,OwnsCar,OwnsRealty,HistoryID,PastDefaults,OverdueMonths,CreditUtilization,ExistingCreditLines,Approved
1,103,State servant,Higher education,Married,With parents,-13170.0,49728.17,48,0,Y,N,1,1,1,0.54,0,0
2,180,State servant,Higher education,Married,House / apartment,-4910.0,49075.14,59,0,N,Y,2,0,1,0.18,1,1
3,93,Working,Higher education,Single,House / apartment,-2513.0,17958.17,56,2,Y,N,3,1,1,0.038,7,0
4,15,Working,Higher education,Single,House / apartment,-14327.0,88949.15,45,0,N,Y,4,0,3,0.324,2,0
5,107,Working,Higher education,Civil marriage,House / apartment,-14452.0,45454.17,61,0,N,Y,5,0,0,0.308,9,1
6,72,State servant,Secondary,Widow,With parents,-5872.0,55071.55,48,0,N,Y,6,3,1,0.273,8,0
7,189,Pensioner,Higher education,Married,With parents,-568.0,55013.06,41,1,N,Y,7,0,0,0.306,4,1
8,21,Working,Secondary,Married,With parents,-2664.0,34677.53,49,0,Y,N,8,1,0,0.401,8,0
9,103,Working,Higher education,Married,House / apartment,-14105.0,43925.11,45,0,Y,N,9,0,0,0.071,0,0
10,122,Commercial associate,Higher education,Married,Rented apartment,-12431.0,34555.02,50,0,Y,Y,10,0,0,0.179,4,0
11,75,Working,Higher education,Married,House / apartment,-4721.0,91354.09,59,0,N,Y,11,0,0,0.186,3,0
12,88,Working,Lower secondary,Single,Office apartment,-14087.0,18020.52,31,1,N,N,12,0,1,0.361,6,0
13,117,Pensioner,Higher education,Civil marriage,Municipal apartment,-13824.0,31920.52,39,0,Y,Y,13,0,0,0.471,0,1
14,100,Commercial associate,Secondary,Married,House / apartment,-7727.0,42406.99,31,2,N,N,14,0,1,0.228,2,1
15,104,Pensioner,Higher education,Separated,House / apartment,-8304.0,96170.03,45,0,Y,N,15,0,0,0.193,4,0
16,152,Pensioner,Higher education,Single,House / apartment,-2037.0,67407.89,21,0,Y,Y,16,1,1,0.221,7,1
17,131,Commercial associate,Higher education,Civil marriage,With parents,-10135.0,23456.01,52,1,N,N,17,0,1,0.267,7,1
18,150,Working,Higher education,Married,House / apartment,-10694.0,46537.83,41,0,Y,N,18,1,1,0.057,2,0
19,53,Commercial associate,Higher education,Civil marriage,Municipal apartment,-11727.0,67819.09,33,2,N,N,19,0,0,0.441,4,1
20,2,Working,Higher education,Single,House / apartment,-8424.0,133533.33,54,1,N,Y,20,1,1,0.266,8,0
21,88,Commercial associate,Secondary,Married,House / apartment,-100.0,42070.98,37,1,Y,N,21,0,0,0.182,1,1
22,158,Working,Higher education,Married,House / apartment,-2566.0,28767.54,39,1,N,Y,22,1,2,0.182,6,0
23,38,Commercial associate,Secondary,Separated,House / apartment,-13478.0,56673.71,30,1,N,N,23,0,0,0.168,6,1
24,130,Working,Higher education,Married,With parents,-8575.0,48075.19,62,1,Y,Y,24,1,1,0.349,1,1
25,192,Working,Secondary,Married,House / apartment,-7523.0,60384.57,29,0,Y,Y,25,1,2,0.072,5,0
26,188,Working,Secondary,Married,House / apartment,-12198.0,66883.91,31,0,Y,N,26,0,2,0.471,7,0
27,21,Working,Higher education,Single,House / apartment,-11878.0,56611.6,58,0,N,Y,27,0,0,0.074,2,1
28,161,Commercial associate,Higher education,Civil marriage,House / apartment,-2218.0,62173.77,51,3,N,Y,28,1,0,0.35,8,0
29,58,Commercial associate,Secondary,Married,With parents,-12544.0,102340.24,22,0,N,Y,29,0,1,0.106,7,1
30,22,Working,Incomplete higher,Married,House / apartment,-13351.0,43002.94,44,0,N,Y,30,2,2,0.192,2,0
31,89,Working,Higher education,Widow,With parents,-12680.0,28254.45,62,2,N,Y,31,0,2,0.114,6,0
32,49,Working,Higher education,Single,Municipal apartment,-4303.0,56460.08,25,0,Y,Y,32,0,1,0.097,7,1
33,59,Working,Incomplete higher,Civil marriage,Municipal apartment,-13857.0,27540.15,50,0,N,Y,33,1,2,0.434,0,0
34,170,Working,Higher education,Married,House / apartment,-3036.0,29592.72,59,0,Y,Y,34,2,0,0.216,2,0
35,188,Pensioner,Secondary,Married,House / apartment,-6763.0,33862.21,55,0,Y,Y,35,0,1,0.266,9,0
36,15,Working,Higher education,Married,,,,37,1,N,Y,36,0,0,0.392,8,1
37,190,Working,Higher education,Single,Municipal apartment,-10594.0,82938.47,51,4,N,Y,37,1,1,0.326,6,0
38,190,Working,Secondary,Married,Municipal apartment,-12391.0,50111.71,22,1,N,Y,38,2,0,0.123,0,0
39,175,Working,Secondary,Married,House / apartment,-2382.0,67376.73,36,1,Y,N,39,0,1,0.341,4,1
40,190,Working,Higher education,Married,House / apartment,-2702.0,61674.08,41,0,N,Y,40,1,1,0.643,9,0
41,51,Commercial associate,Higher education,Married,House / apartment,-1805.0,44601.48,50,0,N,N,41,0,1,0.195,2,1
42,108,Working,Secondary,Civil marriage,With parents,-7409.0,75525.58,21,0,N,N,42,0,0,0.285,1,1
43,55,Working,Secondary,Married,House / apartment,-11881.0,39452.17,34,2,N,Y,43,2,2,0.173,0,0
44,64,Working,Higher education,Single,House / apartment,-13600.0,45452.21,36,1,Y,Y,44,0,0,0.444,1,0
45,131,Working,Secondary,Separated,With parents,-5217.0,35648.83,29,0,N,Y,45,0,0,0.332,0,1
46,51,Working,Secondary,Married,House / apartment,-6801.0,92054.64,28,1,N,Y,46,1,2,0.198,5,0
47,135,State servant,Secondary,Single,House / apartment,-5825.0,46713.53,29,2,N,Y,47,0,0,0.279,8,1
48,21,Commercial associate,Secondary,Widow,House / apartment,-11403.0,64158.54,54,0,Y,N,48,0,2,0.493,2,1
49,73,Commercial associate,Higher education,Widow,House / apartment,-5058.0,37734.96,53,3,Y,Y,49,0,1,0.083,9,0
50,167,Working,Secondary,Married,House / apartment,-9511.0,71765.48,42,0,N,Y,50,1,1,0.14,9,1
51,18,Working,Secondary,Married,House / apartment,-11489.0,69408.28,50,0,Y,N,51,1,2,0.398,0,1
52,132,Working,Higher education,Married,House / apartment,-11172.0,23588.96,27,0,Y,N,52,0,1,0.286,5,1
53,89,Commercial associate,Higher education,Single,House / apartment,-14435.0,49111.88,38,1,Y,Y,53,1,2,0.021,5,1
