ApplicantID,UserID,EmploymentDays,AnnualIncome,Age,NumChildren,OwnsCar,OwnsRealty,HistoryID,PastDefaults,OverdueMonths,CreditUtilization,ExistingCreditLines,Approved,YearsEmployed,IncomePerFamilyMember,HasPastDefault,HighUtilization,IncomeType_Pensioner,IncomeType_State servant,IncomeType_Student,IncomeType_Working,EducationType_Higher education,EducationType_Incomplete higher,EducationType_Lower secondary,EducationType_Secondary,FamilyStatus_Married,FamilyStatus_Separated,FamilyStatus_Single,FamilyStatus_Widow,HousingType_Municipal apartment,HousingType_Office apartment,HousingType_Rented apartment,HousingType_With parents
1,103,-13170.0,49728.17,48,0,1,0,1,1,1,0.54,0,0,36.06,49728.17,1,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
2,180,-4910.0,49075.14,59,0,0,1,2,0,1,0.18,1,1,13.44,49075.14,0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
3,93,-2513.0,17958.17,56,2,1,0,3,1,1,0.038,7,0,6.88,5986.06,1,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
4,15,-14327.0,88949.15,45,0,0,1,4,0,3,0.324,2,0,39.23,88949.15,0,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
5,107,-14452.0,45454.17,61,0,0,1,5,0,0,0.308,9,1,39.57,45454.17,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
6,72,-5872.0,55071.55,48,0,0,1,6,3,1,0.273,8,0,16.08,55071.55,1,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
7,189,-568.0,55013.06,41,1,0,1,7,0,0,0.306,4,1,1.56,27506.53,0,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
8,21,-2664.0,34677.53,49,0,1,0,8,1,0,0.401,8,0,7.29,34677.53,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
9,103,-14105.0,43925.11,45,0,1,0,9,0,0,0.071,0,0,38.62,43925.11,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
10,122,-12431.0,34555.02,50,0,1,1,10,0,0,0.179,4,0,34.03,34555.02,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
11,75,-4721.0,91354.09,59,0,0,1,11,0,0,0.186,3,0,12.93,91354.09,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
12,88,-14087.0,18020.52,31,1,0,0,12,0,1,0.361,6,0,38.57,9010.26,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
13,117,-13824.0,31920.52,39,0,1,1,13,0,0,0.471,0,1,37.85,31920.52,0,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
14,100,-7727.0,42406.99,31,2,0,0,14,0,1,0.228,2,1,21.16,14135.66,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
15,104,-8304.0,96170.03,45,0,1,0,15,0,0,0.193,4,0,22.74,96170.03,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
16,152,-2037.0,67407.89,21,0,1,1,16,1,1,0.221,7,1,5.58,67407.89,1,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
17,131,-10135.0,23456.01,52,1,0,0,17,0,1,0.267,7,1,27.75,11728.0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
18,150,-10694.0,46537.83,41,0,1,0,18,1,1,0.057,2,0,29.28,46537.83,1,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
19,53,-11727.0,67819.09,33,2,0,0,19,0,0,0.441,4,1,32.11,22606.36,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
20,2,-8424.0,133533.33,54,1,0,1,20,1,1,0.266,8,0,23.06,66766.66,1,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
21,88,-100.0,42070.98,37,1,1,0,21,0,0,0.182,1,1,0.27,21035.49,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
22,158,-2566.0,28767.54,39,1,0,1,22,1,2,0.182,6,0,7.03,14383.77,1,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
